n t lin w gyro out
1 202324 1000 -4.00 0.00 -1900
2 202335 1000 -4.00 -0.03 -1891
3 202345 1000 -4.00 -0.78 -1715
4 202356 1000 -4.00 -2.36 -1560
5 202366 1000 -4.00 -4.45 -1247
6 202377 1000 -4.00 -6.22 -1153
7 202387 1000 -4.00 -7.54 -949
8 202398 1000 -4.00 -8.45 -868
9 202408 1000 -4.00 -8.94 -757
10 202419 1000 -4.00 -8.85 -733
11 202429 1000 -4.00 -8.43 -737
12 202440 1000 -4.00 -7.76 -744
13 202450 1000 -4.00 -7.21 -722
14 202461 1000 -4.00 -7.16 -644
15 202471 1000 -4.00 -7.24 -580
16 202482 1000 -4.00 -7.27 -546
17 202492 1000 -4.00 -7.16 -501
18 202503 1000 -4.00 -6.95 -482
19 202514 1000 -4.00 -6.81 -444
20 202524 1000 -4.00 -6.73 -413
21 202535 1000 -4.00 -6.58 -384
22 202545 1000 -4.00 -6.30 -381
23 202556 1000 -4.00 -5.95 -384
24 202566 1000 -4.00 -5.71 -382
25 202577 1000 -4.00 -5.46 -386
26 202587 1000 -4.00 -5.21 -394
27 202598 1000 -4.00 -4.83 -412
28 202608 1000 -4.00 -4.51 -436
29 202619 1000 -4.00 -4.29 -442
30 202629 1000 -4.00 -4.06 -466
31 202640 1000 -4.00 -3.78 -513
32 202650 1000 -4.00 -3.56 -525
33 202661 1000 -4.00 -3.40 -557
34 202671 1000 -4.00 -3.33 -561
35 202682 1000 -4.00 -3.21 -584
36 202692 1000 -4.00 -3.17 -592
37 202703 1000 -4.00 -3.26 -580
38 202713 1000 -4.00 -3.33 -589
39 202724 1000 -4.00 -3.35 -605
40 202734 1000 -4.00 -3.27 -635
41 202745 1000 -4.00 -3.33 -621
42 202755 1000 -4.00 -3.37 -640
43 202766 1000 -4.00 -3.37 -656
44 202776 1000 -4.00 -3.29 -673
45 202787 1000 -4.00 -3.21 -701
46 202797 1000 -4.00 -3.23 -699
47 202808 1000 -4.00 -3.14 -725
48 202818 1000 -4.00 -3.04 -753
49 202829 1000 -4.00 -3.01 -757
50 202839 1000 -4.00 -3.18 -743
51 202850 1000 -4.00 -3.37 -735
52 202860 1000 -4.00 -3.40 -753
53 202871 1000 -4.00 -3.57 -745
54 202882 1000 -4.00 -3.68 -733
55 202892 1000 -4.00 -3.95 -703
56 202903 1000 -4.00 -3.91 -722
57 202913 1000 -4.00 -3.95 -719
58 202924 1000 -4.00 -3.99 -715
59 202934 1000 -4.00 -3.93 -721
60 202945 1000 -4.00 -3.80 -749
61 202955 1000 -4.00 -3.64 -767
62 202966 1000 -4.00 -3.59 -775
63 202976 1000 -4.00 -3.57 -784
64 202987 1000 -4.00 -3.50 -801
65 202997 1000 -4.00 -3.40 -823
66 203008 1000 -4.00 -3.52 -802
67 203018 1000 -4.00 -3.69 -789
68 203029 1000 -4.00 -3.81 -781
69 203039 1000 -4.00 -3.88 -777
70 203050 1000 -4.00 -4.03 -757
71 203060 1000 -4.00 -4.07 -761
72 203071 1000 -4.00 -4.09 -762
73 203081 1000 -4.00 -4.03 -778
74 203092 1000 -4.00 -4.05 -756
75 203102 1000 -4.00 -4.04 -776
76 203113 1000 -4.00 -3.99 -772
77 203123 1000 -4.00 -3.92 -794
78 203134 1000 -4.00 -3.76 -804
79 203144 1000 -4.00 -3.80 -801
80 203155 1000 -4.00 -3.75 -809
81 203165 1000 -4.00 -3.76 -798
82 203176 1000 -4.00 -3.80 -797
83 203186 1000 -4.00 -3.92 -781
84 203197 1000 -4.00 -4.04 -777
85 203207 1000 -4.00 -4.02 -784
86 203218 1000 -4.00 -4.01 -794
87 203228 1000 -4.00 -4.07 -775
88 203239 1000 -4.00 -4.19 -765
89 203249 1000 -4.00 -4.10 -778
90 203260 1000 -4.00 -4.04 -786
91 203270 1000 -4.00 -3.98 -795
92 203281 1000 -4.00 -3.94 -794
93 203291 1000 -4.00 -3.85 -806
94 203302 1000 -4.00 -3.73 -822
95 203312 1000 -4.00 -3.76 -807
96 203323 1000 -4.00 -3.83 -801
97 203333 1000 -4.00 -3.86 -813
98 203344 1000 -4.00 -3.92 -805
99 203354 1000 -4.00 -4.07 -792
100 203365 1000 -4.00 -4.22 -765
101 203375 1000 -4.00 -4.32 -753
102 203386 1000 -4.00 -4.30 -761
103 203396 1000 -4.00 -4.31 -751
104 203407 1000 -4.00 -4.38 -734
105 203417 1000 -4.00 -4.25 -755
106 203428 1000 -4.00 -4.14 -766
107 203438 1000 -4.00 -4.00 -775
108 203449 1000 -4.00 -3.92 -785
109 203459 1000 -4.00 -3.86 -794
110 203470 1000 -4.00 -3.77 -811
111 203480 1000 -4.00 -3.69 -817
112 203491 1000 -4.00 -3.73 -797
113 203501 1000 -4.00 -3.90 -784
114 203512 1000 -4.00 -3.96 -777
115 203522 1000 -4.00 -4.03 -779
116 203533 1000 -4.00 -4.24 -744
117 203543 1000 -4.00 -4.27 -749
118 203554 1000 -4.00 -4.28 -755
119 203564 1000 -4.00 -4.19 -766
120 203575 1000 -4.00 -4.22 -739
121 203585 1000 -4.00 -4.23 -748
122 203596 1000 -4.00 -4.09 -765
123 203606 1000 -4.00 -4.00 -783
124 203617 1000 -4.00 -4.02 -755
125 203627 1000 -4.00 -3.99 -763
126 203638 1000 -4.00 -3.87 -782
127 203648 1000 -4.00 -3.89 -765
128 203659 1000 -4.00 -3.92 -767
129 203669 1000 -4.00 -4.12 -728
130 203680 1000 -4.00 -4.22 -745
131 203690 1000 -4.00 -4.28 -721
132 203701 1000 -4.00 -4.23 -743
133 203711 1000 -4.00 -4.27 -726
134 203722 1000 -4.00 -4.29 -727
135 203732 1000 -4.00 -4.16 -739
136 203743 1000 -4.00 -4.06 -738
137 203753 1000 -4.00 -4.03 -740
138 203764 1000 -4.00 -4.00 -739
139 203774 1000 -4.00 -3.80 -781
140 203785 1000 -4.00 -3.69 -788
141 203795 1000 -4.00 -3.67 -789
142 203806 1000 -4.00 -3.67 -795
143 203816 1000 -4.00 -3.75 -785
144 203827 1000 -4.00 -3.81 -786
145 203837 1000 -4.00 -3.97 -757
146 203848 1000 -4.00 -4.09 -747
147 203858 1000 -4.00 -4.19 -733
148 203869 1000 -4.00 -4.10 -757
149 203879 1000 -4.00 -4.20 -722
150 203890 1000 -4.00 -4.28 -737
151 203900 1000 -4.00 -4.21 -738
152 203911 1000 -4.00 -4.12 -750
