n t lin w gyro out
1 1260894 1000 0.00 1.20 -269
2 1260904 1000 0.00 1.20 -269
3 1260915 1000 0.00 0.92 -206
4 1260926 1000 0.00 1.18 -298
5 1260936 1000 0.00 1.28 -271
6 1260947 1000 0.00 1.31 -282
7 1260957 1000 0.00 1.23 -263
8 1260968 1000 0.00 1.08 -247
9 1260978 1000 0.00 1.02 -246
10 1260989 1000 0.00 0.87 -220
11 1260999 1000 0.00 0.80 -221
12 1261010 1000 0.00 0.73 -215
13 1261020 1000 0.00 0.80 -234
14 1261031 1000 0.00 0.77 -229
15 1261042 1000 0.00 0.78 -226
16 1261052 1000 0.00 0.92 -252
17 1261063 1000 0.00 1.05 -269
18 1261073 1000 0.00 1.20 -274
19 1261084 1000 0.00 1.34 -294
20 1261094 1000 0.00 1.35 -291
21 1261105 1000 0.00 1.45 -302
22 1261115 1000 0.00 1.66 -324
23 1261126 1000 0.00 1.77 -339
24 1261136 1000 0.00 1.79 -333
25 1261147 1000 0.00 1.73 -313
26 1261158 1000 0.00 1.59 -298
27 1261168 1000 0.00 1.46 -294
28 1261179 1000 0.00 1.34 -278
29 1261189 1000 0.00 1.18 -249
30 1261200 1000 0.00 1.04 -236
31 1261210 1000 0.00 0.98 -242
32 1261221 1000 0.00 1.02 -263
33 1261231 1000 0.00 1.08 -263
34 1261242 1000 0.00 1.12 -277
35 1261252 1000 0.00 1.08 -265
36 1261263 1000 0.00 1.21 -277
37 1261274 1000 0.00 1.42 -302
38 1261284 1000 0.00 1.62 -326
39 1261295 1000 0.00 1.76 -337
40 1261305 1000 0.00 1.84 -343
41 1261316 1000 0.00 1.90 -344
42 1261326 1000 0.00 1.87 -328
43 1261337 1000 0.00 1.65 -282
44 1261347 1000 0.00 1.51 -290
45 1261358 1000 0.00 1.38 -281
46 1261368 1000 0.00 1.28 -275
47 1261379 1000 0.00 1.17 -247
48 1261390 1000 0.00 1.06 -255
49 1261400 1000 0.00 1.09 -263
50 1261411 1000 0.00 1.19 -277
51 1261421 1000 0.00 1.30 -284
52 1261432 1000 0.00 1.30 -292
53 1261442 1000 0.00 1.53 -322
54 1261453 1000 0.00 1.69 -333
55 1261463 1000 0.00 1.87 -352
56 1261474 1000 0.00 1.91 -344
57 1261484 1000 0.00 1.94 -348
58 1261495 1000 0.00 1.92 -326
59 1261506 1000 0.00 1.77 -315
60 1261516 1000 0.00 1.56 -286
61 1261527 1000 0.00 1.43 -284
62 1261537 1000 0.00 1.28 -270
63 1261548 1000 0.00 1.25 -273
64 1261558 1000 0.00 1.14 -256
65 1261569 1000 0.00 1.11 -258
66 1261579 1000 0.00 1.11 -251
67 1261590 1000 0.00 1.18 -265
68 1261600 1000 0.00 1.39 -296
69 1261611 1000 0.00 1.53 -311
70 1261622 1000 0.00 1.67 -332
71 1261632 1000 0.00 1.83 -349
72 1261643 1000 0.00 1.92 -350
73 1261653 1000 0.00 1.93 -338
74 1261664 1000 0.00 1.84 -318
75 1261674 1000 0.00 1.70 -300
76 1261685 1000 0.00 1.54 -295
77 1261695 1000 0.00 1.45 -289
78 1261706 1000 0.00 1.33 -277
79 1261716 1000 0.00 1.21 -266
80 1261727 1000 0.00 1.14 -258
81 1261738 1000 0.00 1.20 -276
82 1261748 1000 0.00 1.16 -268
83 1261759 1000 0.00 1.26 -292
84 1261769 1000 0.00 1.35 -291
85 1261780 1000 0.00 1.54 -322
86 1261790 1000 0.00 1.73 -337
87 1261801 1000 0.00 1.87 -356
88 1261811 1000 0.00 1.88 -343
89 1261822 1000 0.00 1.90 -336
90 1261832 1000 0.00 1.89 -332
91 1261843 1000 0.00 1.63 -277
92 1261854 1000 0.00 1.52 -296
93 1261864 1000 0.00 1.34 -262
94 1261875 1000 0.00 1.28 -280
95 1261885 1000 0.00 1.21 -254
96 1261896 1000 0.00 1.08 -255
97 1261906 1000 0.00 1.10 -265
98 1261917 1000 0.00 1.15 -274
99 1261927 1000 0.00 1.30 -274
100 1261938 1000 0.00 1.35 -287
