n t lin w gyro out
1 78658 600 10.00 0.00 1300
2 78669 600 10.00 0.05 1283
3 78679 600 10.00 0.57 1190
4 78690 600 10.00 1.91 980
5 78700 600 10.00 3.47 840
6 78711 600 10.00 4.73 719
7 78721 600 10.00 5.63 685
8 78732 600 10.00 6.28 610
9 78742 600 10.00 6.87 573
10 78753 600 10.00 7.40 515
11 78764 600 10.00 7.74 504
12 78774 600 10.00 7.59 589
13 78785 600 10.00 7.12 610
14 78795 600 10.00 6.74 656
15 78806 600 10.00 6.68 632
16 78816 600 10.00 6.88 577
17 78827 600 10.00 7.60 499
18 78837 600 10.00 8.04 463
19 78848 600 10.00 8.01 517
20 78858 600 10.00 7.76 527
21 78869 600 10.00 7.78 526
22 78879 600 10.00 7.78 518
23 78890 600 10.00 7.87 502
24 78900 600 10.00 7.99 486
25 78911 600 10.00 8.11 489
26 78921 600 10.00 8.13 486
27 78932 600 10.00 8.15 477
28 78942 600 10.00 8.13 483
29 78953 600 10.00 8.10 489
30 78963 600 10.00 8.11 493
31 78974 600 10.00 8.12 486
32 78984 600 10.00 8.09 493
33 78995 600 10.00 8.11 491
34 79005 600 10.00 8.13 478
35 79016 600 10.00 8.15 488
36 79026 600 10.00 8.13 496
37 79037 600 10.00 8.09 492
38 79047 600 10.00 8.10 495
39 79058 600 10.00 8.04 491
40 79068 600 10.00 8.06 492
41 79079 600 10.00 7.94 508
42 79089 600 10.00 8.03 491
43 79100 600 10.00 7.94 506
44 79111 600 10.00 7.91 518
45 79121 600 10.00 7.78 529
46 79132 600 10.00 7.82 517
47 79142 600 10.00 7.81 515
48 79153 600 10.00 7.74 538
49 79163 600 10.00 7.73 524
50 79174 600 10.00 7.69 527
51 79184 600 10.00 7.74 524
52 79195 600 10.00 7.71 529
53 79205 600 10.00 7.64 550
54 79216 600 10.00 7.64 529
55 79226 600 10.00 7.62 536
56 79237 600 10.00 7.72 531
57 79247 600 10.00 7.70 524
58 79258 600 10.00 7.68 537
59 79268 600 10.00 7.82 505
60 79279 600 10.00 7.84 514
61 79289 600 10.00 7.89 506
62 79300 600 10.00 7.88 508
63 79310 600 10.00 7.95 506
64 79321 600 10.00 8.04 488
65 79331 600 10.00 8.07 495
66 79342 600 10.00 8.13 484
67 79352 600 10.00 8.23 474
68 79363 600 10.00 8.32 462
69 79373 600 10.00 8.34 468
70 79384 600 10.00 8.36 462
71 79394 600 10.00 8.39 460
72 79405 600 10.00 8.42 455
73 79415 600 10.00 8.41 463
74 79426 600 10.00 8.33 470
75 79436 600 10.00 8.30 469
76 79447 600 10.00 8.31 457
77 79458 600 10.00 8.38 460
78 79468 600 10.00 8.30 473
79 79479 600 10.00 8.34 458
80 79489 600 10.00 8.30 474
81 79500 600 10.00 8.34 465
82 79510 600 10.00 8.17 495
83 79521 600 10.00 8.19 477
84 79531 600 10.00 8.08 493
85 79542 600 10.00 8.06 501
86 79552 600 10.00 7.96 504
87 79563 600 10.00 7.90 516
88 79573 600 10.00 7.89 507
89 79584 600 10.00 7.79 524
90 79594 600 10.00 7.71 539
91 79605 600 10.00 7.62 540
92 79615 600 10.00 7.59 547
